JNR	DYRNR	MATR	BAKTFUND	DYREART	PRV_DATO	CHR_NR	AKTVNR	SEKTION	EPINR	SYSBEM	ANALYSE	region
A2763203	6	766	cjej	81	31MAY1999:00:00:00	1	5531	1fj	96			NA
A2763292	1	772	cjej	81	31MAY1999:00:00:00	10116	5133	1fj	2			NA
A2763293	1	772	cjej	81	31MAY1999:00:00:00	10116	5133	1fj	2			NA
A2763294	1	772	cjej	81	31MAY1999:00:00:00	10194	5133	1fj	1			R5
A2763299	1	772	cjej	81	31MAY1999:00:00:00	10153	5133	1fj	5			R3
A2763300	1	772	cjej	81	31MAY1999:00:00:00	10085	5133	1fj	1			R8
A2763301	1	772	cjej	81	31MAY1999:00:00:00	10085	5133	1fj	2			R8
A2763302	1	772	cjej	81	31MAY1999:00:00:00	10169	5133	1fj	1			R4
A2763303	1	772	cjej	81	28MAY1999:00:00:00	10245	5133	1fj	1			R4
A2763304	1	772	cjej	81	28MAY1999:00:00:00	10245	5133	1fj	2			R4
A2763305	1	772	cjej	81	28MAY1999:00:00:00	10302	5133	1fj	5			R4
A2763308	1	772	cjej	81	31MAY1999:00:00:00	10603	5133	1fj	2			R3
A2763309	1	772	cjej	81	31MAY1999:00:00:00	10603	5133	1fj	3			R3
A2763313	1	772	cjej	81	28MAY1999:00:00:00	10356	5133	1fj	2			R2
A2763321	1	772	cjej	81	01JUN1999:00:00:00	10241	5133	1fj	3			NA
A2763323	1	772	cjej	81	28MAY1999:00:00:00	10491	5133	1fj	2			NA
A2763326	1	772	cjej	84	27MAY1999:00:00:00	10027	5133	1fj	NA			R7
A2763327	1	772	cjej	84	31MAY1999:00:00:00	10020	5133	1fj	NA			R6
A2763328	1	772	cjej	81	28MAY1999:00:00:00	10469	5133	1fj	3			R5
A2763329	1	772	cjej	81	28MAY1999:00:00:00	10264	5133	1fj	3			R2
A2763330	1	772	cjej	81	28MAY1999:00:00:00	10478	5133	1fj	1			R2
A2763455	1	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	91			NA
A2763455	2	25	cjej	81	03JUN1999:00:00:00	1	5531	1fj	92			NA
A2763199	1	772	cjej	81	25MAY1999:00:00:00	10250	5133	1fj	5			R2
A2763131	1	772	cjej	81	26MAY1999:00:00:00	10597	5133	1fj	2			R6
A2763134	1	772	cjej	84	21MAY1999:00:00:00	10193	5133	1fj	NA			R7
A2763135	1	772	cjej	84	25MAY1999:00:00:00	10120	5133	1fj	NA			R3
A2763136	1	772	cjej	81	27MAY1999:00:00:00	10177	5133	1fj	1			NA
A2763138	1	772	cjej	81	25MAY1999:00:00:00	10615	5133	1fj	2			NA
A2763139	1	772	cjej	81	26MAY1999:00:00:00	10615	5133	1fj	2			NA
A2763141	1	772	cjej	81	26MAY1999:00:00:00	10099	5133	1fj	2			R5
A2763143	1	772	cjej	81	26MAY1999:00:00:00	10315	5133	1fj	8			NA
A2763165	1	772	cjej	81	26MAY1999:00:00:00	10245	5133	1fj	5			R4
A2763167	1	772	cjej	81	27MAY1999:00:00:00	10245	5133	1fj	4			R4
A2763168	1	772	cjej	81	27MAY1999:00:00:00	10638	5133	1fj	1			R8
A2763169	1	772	cjej	81	26MAY1999:00:00:00	10649	5133	1fj	1			R8
A2763171	1	772	cjej	81	27MAY1999:00:00:00	10625	5133	1fj	1			R1
A2763177	1	772	cjej	81	27MAY1999:00:00:00	10238	5133	1fj	2			NA
A2763178	1	772	cjej	81	21MAY1999:00:00:00	10371	5133	1fj	2			R1
A2763187	1	772	cjej	81	27MAY1999:00:00:00	10307	5133	1fj	2			R3
A2763191	1	772	cjej	81	25MAY1999:00:00:00	10342	5133	1fj	1			R3
A2763192	1	772	cjej	81	25MAY1999:00:00:00	10342	5133	1fj	2			R3
A2763194	1	772	cjej	81	25MAY1999:00:00:00	10120	5133	1fj	16			R3
A2763195	1	772	cjej	81	26MAY1999:00:00:00	10120	5133	1fj	16			R3
A2763196	1	772	cjej	81	21MAY1999:00:00:00	10250	5133	1fj	1			R2
A2763197	1	772	cjej	81	21MAY1999:00:00:00	10250	5133	1fj	3			R2
A2763198	1	772	cjej	81	21MAY1999:00:00:00	10250	5133	1fj	4			R2
A2763130	1	772	cjej	81	25MAY1999:00:00:00	10597	5133	1fj	1			R6
A2762716	1	772	cjej	81	20MAY1999:00:00:00	10143	5133	1fj	2			R3
A2762726	1	772	cjej	81	17MAY1999:00:00:00	10209	5133	1fj	2			R1
A2762735	1	772	cjej	81	20MAY1999:00:00:00	10281	5133	1fj	1			R6
A2762736	1	772	cjej	81	20MAY1999:00:00:00	10281	5133	1fj	2			R6
A2762750	1	772	cjej	84	20MAY1999:00:00:00	10289	5133	1fj	NA			R3
A2762751	1	772	cjej	84	18MAY1999:00:00:00	10289	5133	1fj	NA			R3
A2762752	1	772	cjej	84	19MAY1999:00:00:00	10292	5133	1fj	NA			R2
A2762753	1	772	cjej	83	20MAY1999:00:00:00	10376	5133	1fj	NA			R5
A2762791	1	772	cjej	81	18MAY1999:00:00:00	10615	5133	1fj	2			NA
A2762793	1	772	cjej	81	19MAY1999:00:00:00	10178	5133	1fj	3			NA
A2762944	1	772	cjej	81	21MAY1999:00:00:00	10172	5133	1fj	4			NA
A2762948	1	772	cjej	81	25MAY1999:00:00:00	10226	5133	1fj	12			NA
A2762949	1	772	cjej	81	25MAY1999:00:00:00	10226	5133	1fj	13			NA
A2762950	1	772	cjej	81	25MAY1999:00:00:00	10342	5133	1fj	1			R3
A2762952	1	772	cjej	81	25MAY1999:00:00:00	10153	5133	1fj	2			R3
A2762953	1	772	cjej	81	25MAY1999:00:00:00	10153	5133	1fj	5			R3
A2762959	1	772	cjej	81	25MAY1999:00:00:00	10099	5133	1fj	2			R5
A2762965	1	772	cjej	81	25MAY1999:00:00:00	10347	5133	1fj	1			R2
A2762967	1	772	cjej	81	21MAY1999:00:00:00	10371	5133	1fj	1			R1
A2762970	1	772	cjej	81	25MAY1999:00:00:00	10301	5133	1fj	3			R4
A2762971	1	772	cjej	81	21MAY1999:00:00:00	10143	5133	1fj	3			R3
A2763011	1	772	cjej	84	26MAY1999:00:00:00	10027	5133	1fj	NA			R7
A2763119	1	772	cjej	84	27MAY1999:00:00:00	10020	5133	1fj	NA			R6
A2762708	1	772	cjej	81	20MAY1999:00:00:00	10172	5133	1fj	3			NA
A2762423	1	772	cjej	81	14MAY1999:00:00:00	10261	5133	1fj	2			R5
A2762425	1	772	cjej	81	11MAY1999:00:00:00	10499	5133	1fj	1			R5
A2762426	1	772	cjej	81	12MAY1999:00:00:00	10499	5133	1fj	2			R5
A2762435	1	772	cjej	81	11MAY1999:00:00:00	10096	5133	1fj	3			R3
A2762437	1	772	cjej	81	11MAY1999:00:00:00	10657	5133	1fj	1			R6
A2762438	1	772	cjej	81	14MAY1999:00:00:00	10091	5133	1fj	2			R3
A2762440	1	772	cjej	81	14MAY1999:00:00:00	10131	5133	1fj	2			R3
A2762441	1	772	cjej	81	14MAY1999:00:00:00	10131	5133	1fj	3			R3
A2762448	1	772	cjej	84	12MAY1999:00:00:00	10120	5133	1fj	NA			R3
A2762449	1	772	cjej	84	11MAY1999:00:00:00	10126	5133	1fj	NA			R2
A2762451	1	772	cjej	81	17MAY1999:00:00:00	10178	5133	1fj	3			NA
A2762620	1	772	cjej	84	18MAY1999:00:00:00	10573	5133	1fj	NA			R3
A2762683	1	772	cjej	81	19MAY1999:00:00:00	10250	5133	1fj	2			R2
A2762684	1	772	cjej	81	19MAY1999:00:00:00	10250	5133	1fj	6			R2
A2762685	1	772	cjej	81	20MAY1999:00:00:00	10250	5133	1fj	2			R2
A2762697	1	772	cjej	81	19MAY1999:00:00:00	10441	5133	1fj	2			R3
A2762699	1	772	cjej	81	18MAY1999:00:00:00	10226	5133	1fj	10			NA
A2762700	1	772	cjej	81	18MAY1999:00:00:00	10226	5133	1fj	11			NA
A2762701	1	772	cjej	81	18MAY1999:00:00:00	10507	5133	1fj	1			R8
A2762704	1	772	cjej	81	19MAY1999:00:00:00	10543	5133	1fj	1			R7
A2762705	1	772	cjej	81	20MAY1999:00:00:00	10543	5133	1fj	2			R7
A2762706	1	772	cjej	81	19MAY1999:00:00:00	10172	5133	1fj	1			NA
A2762707	1	772	cjej	81	19MAY1999:00:00:00	10172	5133	1fj	2			NA
