Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10394,10,07/18/05,07/19/05,C38,1,POSITIV,R4
Kloaksvaber,10415,1,07/18/05,07/19/05,C37,1,POSITIV,NA
Kloaksvaber,10435,1,07/18/05,07/19/05,C45,1,POSITIV,R2
Kloaksvaber,10331,1,07/18/05,07/19/05,C35,1,POSITIV,R6
Kloaksvaber,10111,2,07/18/05,07/19/05,C32,1,POSITIV,R5
Kloaksvaber,10325,2,07/18/05,07/19/05,C42,1,POSITIV,R8
Kloaksvaber,10165,1,07/18/05,07/19/05,C54,1,NEGATIV,R5
Kloaksvaber,10178,3,07/18/05,07/19/05,C56,1,POSITIV,NA
Kloaksvaber,10394,11,07/18/05,07/19/05,C39,1,POSITIV,R4
Kloaksvaber,10111,1,07/18/05,07/19/05,C50,1,POSITIV,R5
Kloaksvaber,10165,3,07/18/05,07/27/05,C116,1,POSITIV,R5
Kloaksvaber,10111,1,07/18/05,07/19/05,C31,1,POSITIV,R5
Kloaksvaber,10165,2,07/19/05,07/27/05,C115,1,NEGATIV,R5
Kloaksvaber,10554,1,07/19/05,07/27/05,C110,1,POSITIV,R1
Kloaksvaber,10207,1,07/19/05,07/22/05,C72,1,NEGATIV,R5
Kloaksvaber,10245,1,07/19/05,07/20/05,C57,1,POSITIV,R4
Kloaksvaber,10111,3,07/19/05,07/27/05,C109,1,POSITIV,R5
Kloaksvaber,10615,2,07/19/05,07/22/05,C83,1,POSITIV,NA
Kloaksvaber,10245,2,07/19/05,07/20/05,C58,1,POSITIV,R4
Kloaksvaber,10325,4,07/19/05,07/20/05,C60,1,POSITIV,R8
Kloaksvaber,10325,1,07/19/05,07/20/05,C59,1,POSITIV,R8
